fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
7.9;0.28;0.41;2.0;0.044000000000000004;50.0;152.0;0.9934;3.45;0.49;10.7;8
7.4;0.38;0.34;8.3;0.052000000000000005;44.0;168.0;0.9962700000000001;3.11;0.52;9.2;5
7.0;0.23;0.36;13.0;0.051;72.0;177.0;0.9972;3.16;0.49;9.8;5
6.9;0.41;0.22;4.2;0.031;10.0;102.0;0.993;3.0;0.86;11.6;4
7.3;0.3;0.22;6.4;0.055999999999999994;44.0;168.0;0.9947;3.13;0.35;10.1;6
6.7;0.23;0.33;1.8;0.036000000000000004;23.0;96.0;0.9925;3.32;0.4;10.8;6
7.0;0.22;0.26;1.1;0.037000000000000005;20.0;71.0;0.9902;3.1;0.38;11.7;6
6.2;0.25;0.44;15.8;0.057;39.0;167.0;0.9980399999999999;3.14;0.51;9.2;5
5.5;0.15;0.32;14.0;0.031;16.0;99.0;0.9943700000000001;3.26;0.38;11.5;8
6.7;0.27;0.26;2.3;0.043;61.0;181.0;0.9939399999999999;3.45;0.63;10.6;6
8.4;0.2;0.38;11.8;0.055;51.0;170.0;1.0004;3.34;0.82;8.9;6
8.9;0.27;0.28;0.8;0.024;29.0;128.0;0.9898399999999999;3.01;0.35;12.4;6
6.6;0.34;0.2;1.0;0.053;26.0;112.0;0.99336;3.32;0.55;9.1;5
7.1;0.21;0.37;2.4;0.026000000000000002;23.0;100.0;0.9903;3.15;0.38;11.4;7
6.8;0.27;0.22;17.8;0.034;16.0;116.0;0.9989;3.07;0.53;9.2;5
7.3;0.28;0.36;12.7;0.04;38.0;140.0;0.998;3.3;0.79;9.6;6
6.5;0.17;0.54;8.5;0.08199999999999999;64.0;163.0;0.9959;2.89;0.39;8.8;6
6.4;0.13;0.28;0.9;0.045;32.0;87.0;0.99175;3.47;0.52;11.2;6
7.7;0.44;0.24;11.2;0.031;41.0;167.0;0.9948;3.12;0.43;11.3;7
8.6;0.265;0.36;1.2;0.034;15.0;80.0;0.9913;2.95;0.36;11.4;7
6.5;0.13;0.37;1.0;0.036000000000000004;48.0;114.0;0.9911;3.41;0.51;11.5;8
6.9;0.54;0.32;13.2;0.05;53.0;236.0;0.9973;3.2;0.5;9.6;5
7.1;0.145;0.33;4.6;0.05;33.0;131.0;0.9942;3.28;0.4;9.6;6
6.7;0.2;0.42;14.0;0.038;83.0;160.0;0.9987;3.16;0.5;9.4;6
6.5;0.425;0.4;13.1;0.038;59.0;241.0;0.9979;3.23;0.57;9.0;5
8.7;0.31;0.73;14.35;0.044000000000000004;27.0;191.0;1.00013;2.96;0.88;8.7;5
7.4;0.21;0.27;1.2;0.040999999999999995;27.0;99.0;0.9927;3.19;0.33;9.8;6
